,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
107802,2003-11-12T00:00:00,17.0,-25.2667,-57.6167,12,11,2003
108407,2006-02-15T00:00:00,101.0,-34.6808,-54.2956,15,2,2006
108476,2008-10-11T00:00:00,2.0,-25.2667,-57.6167,11,10,2008
108554,2001-02-22T00:00:00,,-17.1384,-71.8702,22,2,2001
108688,2007-09-21T00:00:00,38.0,-25.2667,-57.6167,21,9,2007
108695,2008-12-07T00:00:00,,-36.2941,-56.7756,7,12,2008
109144,2001-11-18T00:00:00,,-34.6183,-54.2921,18,11,2001
109263,2004-02-10T00:00:00,1.0,-18.4165,-70.3224,10,2,2004
109330,2009-02-10T00:00:00,10.0,-35.4576,-58.8151,10,2,2009
109620,2008-10-22T00:00:00,1.0,-13.618,-71.7304,22,10,2008
109674,2004-10-23T00:00:00,12.0,-25.2667,-57.6167,23,10,2004
110077,2003-09-11T00:00:00,2.0,-34.6623,-54.1484,11,9,2003
110174,2003-03-06T00:00:00,,-42.7656,-63.638000000000005,6,3,2003
110468,2007-02-14T00:00:00,67.0,-31.2833,-51.0,14,2,2007
110967,2005-03-22T00:00:00,,-11.083,-76.1541,22,3,2005
111123,2001-10-25T00:00:00,20.0,-25.2667,-57.6167,25,10,2001
111312,2004-09-18T00:00:00,1.0,-25.2712,-57.6298,18,9,2004
111774,2000-10-19T00:00:00,7.0,-25.2667,-57.6167,19,10,2000
111834,2008-11-05T00:00:00,1.0,-8.49421,-60.9622,5,11,2008
112428,2007-02-04T00:00:00,1.0,-22.7195,-65.6952,4,2,2007
113001,2007-11-29T00:00:00,1.0,-22.4075,-66.0055,29,11,2007
113381,2009-02-19T00:00:00,2.0,-31.5333,-61.5333,19,2,2009
113828,2007-07-15T00:00:00,,-19.42,-60.5621,15,7,2007
113866,2004-09-04T00:00:00,62.0,-25.2667,-57.6167,4,9,2004
114368,2009-11-19T00:00:00,3.0,-18.4165,-70.3224,19,11,2009
114414,2003-09-19T00:00:00,,-15.1694,-56.8538,19,9,2003
114648,2009-01-04T00:00:00,1.0,-29.8934,-71.2731,4,1,2009
115069,2004-12-30T00:00:00,,-29.7834,-59.2122,30,12,2004
115863,2000-11-05T00:00:00,,-36.2941,-56.7756,5,11,2000
116694,2009-12-13T00:00:00,45.0,-34.2554,-53.8819,13,12,2009
116748,2009-03-18T00:00:00,,-34.0411,151.19899999999998,18,3,2009
117032,2000-11-26T00:00:00,,-34.3364,-53.794,26,11,2000
117110,2003-08-26T00:00:00,3.0,-25.2667,-57.6167,26,8,2003
117668,2004-10-07T00:00:00,19.0,-25.2667,-57.6167,7,10,2004
117834,2006-11-04T00:00:00,1.0,-36.2941,-56.7756,4,11,2006
118405,2004-05-28T00:00:00,2.0,-17.1384,-71.8702,28,5,2004
118544,2006-01-19T00:00:00,200.0,-36.2941,-56.7756,19,1,2006
118735,2003-09-23T00:00:00,10.0,-25.2667,-57.6167,23,9,2003
119194,2000-12-20T00:00:00,3.0,-31.7136,-61.0421,20,12,2000
119514,2009-03-21T00:00:00,1.0,-34.0411,151.19899999999998,21,3,2009
119601,2007-08-12T00:00:00,1.0,-20.0858,-56.6154,12,8,2007
119688,2008-11-02T00:00:00,,-34.6643,-54.1732,2,11,2008
119736,2007-10-12T00:00:00,11.0,-25.2667,-57.6167,12,10,2007
120003,2002-08-26T00:00:00,1.0,-25.2667,-57.6167,26,8,2002
120296,2005-03-06T00:00:00,,-0.510471,-78.226,6,3,2005
120513,2009-12-28T00:00:00,16.0,-30.3761,-59.9993,28,12,2009
120583,2000-09-25T00:00:00,3.0,-18.8511,-60.2925,25,9,2000
120631,2008-02-13T00:00:00,12.0,-30.875,-62.4745,13,2,2008
120634,2006-09-28T00:00:00,,-25.266,-57.6283,28,9,2006
120885,2004-10-10T00:00:00,,-34.3364,-53.794,10,10,2004
120937,2009-12-28T00:00:00,16.0,-30.3761,-59.9993,28,12,2009
121056,2008-11-02T00:00:00,2.0,-18.477,-70.3207,2,11,2008
121081,2004-08-30T00:00:00,4.0,-25.2667,-57.6167,30,8,2004
121691,2004-09-11T00:00:00,80.0,-25.2667,-57.6167,11,9,2004
121775,2008-10-13T00:00:00,610.0,-34.6797,-54.2732,13,10,2008
121784,2009-09-21T00:00:00,,-23.4555,-45.0603,21,9,2009
121971,2007-02-03T00:00:00,,-33.4985,-58.7884,3,2,2007
123036,2009-09-15T00:00:00,12.0,-34.7658,-56.416000000000004,15,9,2009
